Time,Temperature
0,28.63824
1,28.44177
2,28.51541
3,28.44177
4,28.36822
5,28.44177
6,30.8482
7,32.86245
8,33.84212
9,34.53661
10,35.60284
11,35.44073
12,35.52175
13,35.7654
15,36.52987
16,35.60284
17,35.7654
18,35.68404
19,35.7654
20,35.7654
21,35.68404
22,35.84686
23,35.60284
24,35.68404
25,35.60284
26,35.44073
27,35.17144
28,35.52175
30,35.44073
31,35.44073
32,35.17144
34,35.17144
35,35.30596
36,35.17144
37,34.63641
38,34.90337
39,34.90337
40,34.53661
41,34.90337
42,34.76974
43,34.63641
44,34.33739
45,34.53661
47,34.76974
48,34.53661
49,34.43691
50,34.76974
51,34.63641
52,34.43691
53,34.76974
54,34.43691
55,34.53661
56,34.43691
57,34.33739
58,34.23806
59,34.23806
60,31.03768
62,34.13885
63,34.33739
64,34.03979
65,34.13885
66,33.74352
67,33.15487
68,34.33739
69,33.94088
70,33.94088
71,34.13885
72,34.23806
73,34.03979
74,33.84212
75,33.84212
77,33.54671
78,33.35055
79,33.74352
80,33.64501
81,33.54671
82,33.64501
83,33.54671
84,33.54671
85,33.54671
86,33.84212
87,33.64501
88,33.35055
90,33.05727
91,33.15487
92,33.84212
93,33.25265
94,33.25265
95,33.54671
96,33.84212
98,33.05727
99,33.25265
100,33.25265
101,33.05727
102,33.15487
103,32.66817
105,32.86245
106,32.86245
107,32.66817
108,32.47445
109,32.28124
110,32.28124
111,32.66817
112,32.57125
113,32.66817
114,32.47445
115,32.28124
116,32.57125
118,32.66817
119,32.57125
120,33.05727
121,32.28124
122,32.37777
123,32.28124
124,32.66817
125,33.35055
126,31.9924
127,32.08855
128,32.18484
129,32.08855
130,32.18484
132,31.9924
133,32.47445
134,31.9924
135,32.18484
136,31.32284
137,31.9924
138,31.89639
139,31.9924
140,31.70474
141,31.70474
142,31.89639
143,31.89639
145,31.8005
146,31.70474
147,31.70474
148,31.70474
149,31.60909
150,31.70474
151,31.60909
152,31.70474
153,32.08855
154,31.03768
155,31.13259
156,31.60909
157,31.13259
159,31.13259
160,31.60909
161,31.51351
163,30.62765
164,31.51351
165,31.13259
166,31.70474
167,30.75356
168,31.13259
169,31.13259
170,31.32284
172,31.03768
173,31.32284
174,30.94287
175,30.8482
176,31.03768
177,31.32284
178,31.13259
179,31.32284
180,31.03768
181,30.94287
182,31.03768
183,30.94287
185,30.8482
186,30.75356
187,30.69061
188,30.8482
189,30.75356
190,31.13259
191,30.62765
192,30.56475
193,30.94287
194,30.50189
195,30.12585
197,31.70474
198,30.56475
199,30.50189
200,30.43908
201,30.50189
202,30.50189
203,30.50189
204,30.50189
205,30.43908
206,30.37634
208,30.56475
209,30.37634
210,30.25103
211,30.37634
212,29.62713
213,30.25103
214,29.87612
215,30.37634
216,30.00091
217,29.87612
219,30.12585
220,30.00091
221,30.25103
222,29.87612
223,30.12585
224,30.75356
225,30.00091
226,30.00091
228,29.75152
230,29.62713
231,29.75152
232,30.43908
233,29.87612
234,29.87612
235,29.50289
236,29.50289
237,29.37884
238,29.50289
239,29.62713
241,29.50289
242,29.37884
243,30.25103
244,29.37884
245,29.37884
246,29.37884
247,29.255
248,28.36822
249,29.1622
250,29.1622
252,29.255
253,29.255
254,28.97692
255,28.97692
256,29.1622
257,29.06951
258,29.37884
260,28.88445
261,28.2947
262,29.06951
263,28.97692
264,28.76126
265,28.63824
266,28.36822
267,29.255
268,28.88445
270,28.63824
271,28.76126
272,29.37884
273,28.63824
274,28.97692
275,28.97692
276,28.97692
277,28.22122
278,28.63824
279,29.06951
281,28.63824
282,28.44177
283,28.14785
284,28.2947
285,28.63824
286,28.44177
287,28.76126
288,28.2947
289,28.44177
291,28.36822
292,28.36822
293,28.44177
295,28.14785
296,27.90356
297,28.2947
298,28.36822
299,28.76126
301,28.2947
302,28.14785
303,28.14785
304,28.22122
305,28.02563
306,28.14785
307,28.14785
308,28.14785
309,28.14785
310,28.22122
312,28.02563
313,28.14785
314,28.14785
315,28.22122
316,27.78167
317,26.45034
318,26.33013
319,27.90356
320,27.78167
322,27.65994
323,27.65994
324,27.78167
325,28.02563
326,27.53835
327,27.53835
328,27.78167
329,28.02563
330,26.98086
332,27.78167
333,27.78167
334,27.53835
335,27.29559
336,27.78167
337,27.53835
338,27.53835
339,27.78167
