Time,Temperature
0,21.65417
1,21.65417
2,22.42422
3,21.65417
4,21.37484
5,20.46905
6,21.2004
7,21.2004
8,20.85192
9,20.67782
10,21.02612
11,18.94177
12,21.2004
13,20.85192
15,21.02612
16,20.53863
17,20.85192
18,20.67782
19,21.02612
20,20.60821
21,21.02612
22,19.80886
23,20.85192
24,20.60821
25,20.67782
26,20.67782
27,20.39953
28,20.53863
29,20.60821
31,21.51449
32,20.67782
33,21.2004
34,20.60821
35,20.85192
36,20.60821
37,20.67782
39,20.85192
40,20.85192
41,20.60821
42,20.60821
43,20.60821
44,19.11508
45,20.60821
47,20.53863
48,20.60821
49,20.67782
50,20.67782
51,20.85192
52,20.46905
53,20.60821
54,20.60821
55,21.2004
56,20.60821
57,20.53863
58,20.53863
59,20.46905
60,22.42422
61,21.02612
63,20.60821
64,20.32998
65,20.32998
66,20.53863
67,19.98248
68,19.63531
69,20.39953
70,20.46905
71,20.39953
72,18.07586
73,20.21408
74,20.32998
75,20.39953
76,20.53863
78,20.53863
79,20.21408
80,20.46905
81,20.46905
82,20.46905
83,20.32998
84,18.59527
85,20.21408
86,20.46905
87,20.32998
88,20.21408
89,21.8406
90,19.92459
92,19.86669
93,21.37484
94,20.21408
95,20.32998
96,20.21408
97,20.67782
98,20.53863
99,20.46905
100,20.09826
101,20.32998
103,20.21408
105,20.32998
106,20.09826
107,20.39953
108,19.02841
109,19.80886
110,20.32998
111,20.39953
112,20.46905
113,20.21408
114,20.21408
115,20.09826
116,20.32998
117,20.09826
119,19.98248
120,21.02612
121,20.32998
122,20.09826
123,20.09826
124,19.92459
125,20.39953
126,20.39953
127,20.21408
128,20.32998
129,19.92459
130,20.21408
132,21.44467
133,20.32998
134,20.21408
135,20.32998
136,20.46905
137,18.42214
138,19.92459
139,19.92459
140,20.32998
141,20.09826
142,20.53863
143,20.09826
144,20.21408
146,20.09826
147,20.09826
148,19.86669
149,20.09826
150,20.09826
151,20.09826
152,20.46905
153,20.09826
154,20.21408
155,20.21408
156,20.09826
157,19.98248
159,20.21408
160,21.02612
161,20.21408
162,19.92459
163,19.80886
164,19.92459
165,20.21408
166,20.39953
168,19.98248
169,19.98248
170,19.92459
172,20.09826
173,17.03741
174,20.21408
175,19.86669
176,20.09826
177,20.32998
178,20.60821
179,19.98248
180,19.98248
181,19.86669
182,19.63531
183,19.98248
185,23.12689
186,19.98248
187,20.21408
188,19.92459
189,19.92459
190,20.09826
191,20.09826
192,19.92459
193,19.86669
194,20.09826
195,19.20175
196,19.80886
198,19.98248
199,19.98248
200,19.98248
201,19.98248
202,20.09826
203,19.98248
204,19.98248
205,19.98248
206,19.751
208,19.92459
209,19.86669
210,19.92459
211,19.92459
212,18.42214
213,19.98248
214,19.80886
215,19.86669
216,19.92459
217,17.90277
219,19.63531
220,20.09826
221,19.86669
222,20.09826
223,19.98248
224,19.69314
225,19.86669
226,19.98248
227,19.86669
228,20.21408
230,19.86669
231,19.69314
232,19.86669
234,19.86669
235,18.94177
236,19.92459
237,19.28842
238,19.80886
239,19.98248
241,19.86669
242,19.69314
243,19.98248
244,20.21408
245,19.86669
246,20.09826
247,19.69314
248,19.92459
249,19.92459
250,19.86669
252,19.751
253,20.21408
254,18.16244
255,19.98248
256,19.80886
257,19.751
258,19.98248
259,19.80886
260,19.92459
261,19.86669
263,19.80886
264,19.80886
265,19.86669
266,19.80886
267,19.751
269,19.98248
270,20.09826
271,18.76852
272,19.80886
273,21.02612
274,19.86669
275,19.80886
276,21.44467
277,19.86669
278,19.80886
280,19.751
281,19.751
282,19.86669
283,18.07586
284,19.86669
285,19.86669
286,19.46185
287,18.94177
288,19.86669
290,19.751
291,19.69314
292,19.80886
293,19.46185
294,21.37484
295,19.80886
296,19.46185
297,19.69314
298,19.751
301,19.751
302,19.751
303,19.751
304,19.92459
305,19.80886
306,19.28842
307,19.63531
308,19.751
309,19.63531
311,21.44467
312,19.11508
313,19.69314
314,19.63531
315,19.751
316,19.69314
317,19.86669
318,18.68191
319,19.751
321,19.80886
322,19.63531
323,18.68191
324,20.85192
325,19.80886
326,19.80886
327,19.69314
328,19.86669
329,18.76852
331,19.69314
332,19.80886
333,19.63531
334,22.42422
335,20.85192
336,19.28842
337,19.63531
338,19.69314
339,19.751
341,19.69314
342,19.69314
343,20.32998
344,19.69314
345,19.751
346,19.69314
347,19.46185
348,19.69314
349,19.63531
351,19.63531
352,19.20175
353,19.751
354,19.69314
355,19.63531
356,19.69314
357,20.46905
358,19.69314
359,19.63531
361,19.751
362,19.63531
363,19.20175
364,19.69314
365,19.63531
367,20.60821
368,22.89236
369,19.11508
370,18.16244
371,19.69314
372,19.63531
373,19.63531
374,19.69314
376,19.63531
377,19.80886
378,19.751
379,20.53863
380,18.68191
381,19.751
382,19.63531
383,19.98248
384,19.69314
385,18.42214
386,19.69314
