Time,Temperature
0,32.57125
1,32.66817
2,32.37777
3,32.18484
4,33.64501
5,31.89639
6,31.9924
7,32.18484
8,32.08855
9,31.70474
10,31.8005
11,31.89639
12,31.8005
13,31.70474
15,31.89639
16,31.8005
17,31.13259
18,31.70474
19,31.8005
20,31.51351
21,34.53661
22,31.70474
23,31.60909
24,31.60909
25,31.51351
26,31.51351
27,31.32284
28,29.62713
30,31.03768
31,30.94287
32,30.94287
34,30.94287
35,30.94287
36,30.8482
37,30.75356
38,30.8482
39,30.94287
40,30.8482
41,30.75356
42,30.8482
43,30.8482
44,30.62765
45,30.75356
47,30.94287
48,30.69061
49,30.69061
50,30.69061
51,30.62765
52,30.56475
53,30.37634
54,30.56475
55,30.56475
56,30.69061
57,30.62765
58,30.69061
59,30.56475
60,30.75356
62,30.75356
63,30.75356
64,30.69061
65,30.75356
66,30.56475
67,30.50189
68,30.43908
69,29.62713
70,30.00091
71,30.25103
72,30.75356
73,29.50289
74,29.87612
75,29.75152
77,30.37634
78,30.25103
79,30.00091
80,27.90356
81,30.00091
82,30.00091
83,29.87612
84,29.87612
85,29.37884
86,29.50289
87,29.37884
88,29.37884
89,29.87612
91,29.50289
92,29.37884
93,29.50289
94,29.1622
95,29.1622
96,26.98086
98,29.255
99,29.255
100,29.255
101,29.1622
102,29.255
103,29.255
105,29.255
106,29.1622
107,28.97692
108,28.97692
109,28.76126
110,29.1622
111,29.06951
112,28.97692
113,28.88445
114,29.1622
115,28.97692
116,28.88445
118,28.76126
119,28.76126
120,26.33013
121,28.76126
122,28.88445
123,28.88445
124,28.63824
125,28.51541
126,28.63824
127,28.63824
128,28.63824
129,28.51541
130,28.76126
132,28.44177
133,28.51541
134,28.51541
135,28.51541
136,28.51541
137,28.36822
138,28.51541
139,28.36822
140,28.44177
141,28.36822
142,27.78167
143,28.22122
144,28.2947
146,28.2947
147,28.2947
148,28.22122
149,28.36822
150,28.36822
151,28.14785
152,28.14785
153,28.14785
154,28.02563
155,28.14785
156,28.14785
157,28.22122
159,28.22122
160,27.90356
161,25.89843
163,27.90356
164,28.22122
165,27.78167
166,28.14785
167,27.65994
168,27.78167
169,27.78167
170,28.02563
172,27.90356
173,27.78167
174,27.65994
175,27.53835
176,27.90356
