Time, Temperature
0,21.02612
1,20.60821
3,21.72408
4,21.72408
5,21.65417
6,21.44467
8,21.51449
9,20.67782
10,20.53863
11,20.67782
13,21.2004
14,20.60821
15,20.67782
16,20.67782
17,20.53863
19,20.67782
20,20.60821
21,20.53863
22,20.53863
24,20.39953
25,20.46905
26,20.53863
27,20.39953
29,20.46905
30,20.60821
31,20.46905
32,20.53863
34,20.39953
35,20.39953
36,20.53863
37,20.32998
39,20.39953
40,20.21408
41,20.53863
42,19.80886
44,20.46905
45,20.21408
46,20.53863
47,20.46905
48,20.39953
50,20.21408
52,20.21408
53,20.39953
55,20.32998
56,19.98248
57,20.21408
58,20.39953
60,20.32998
61,20.09826
62,20.09826
63,20.32998
65,20.32998
66,20.32998
67,20.09826
68,20.53863
70,19.98248
71,20.32998
72,20.21408
73,20.32998
75,19.98248
76,20.39953
77,20.53863
78,20.21408
80,19.98248
81,20.21408
82,19.92459
83,19.86669
85,20.21408
86,20.09826
87,19.98248
88,19.98248
89,20.21408
91,20.21408
92,19.92459
93,19.80886
94,20.21408
96,20.21408
97,19.92459
98,19.86669
99,19.86669
101,19.69314
102,20.39953
103,19.98248
104,19.92459
106,19.86669
107,19.98248
108,19.92459
109,19.98248
111,19.92459
112,19.80886
113,19.98248
114,19.92459
116,19.80886
117,19.98248
118,19.98248
119,19.86669
121,19.751
122,19.69314
124,19.69314
126,19.86669
127,19.98248
128,19.98248
129,19.80886
131,19.86669
132,19.92459
133,19.80886
134,19.751
136,19.80886
137,19.751
138,19.80886
139,19.92459
141,19.28842
142,19.80886
143,19.92459
144,19.92459
146,19.69314
147,19.80886
148,19.751
149,19.80886
151,19.92459
152,19.86669
153,19.751
154,19.751
156,19.751
157,19.80886
158,19.80886
159,19.86669
161,19.80886
162,19.751
163,19.80886
164,19.80886
166,19.751
167,19.63531
168,19.86669
169,19.92459
171,19.80886
172,19.80886
173,19.92459
174,19.80886
176,19.80886
177,19.751
178,19.751
179,19.80886
181,19.69314
182,19.63531
183,19.69314
184,19.751
186,19.69314
187,19.28842
188,19.751
189,19.28842
191,19.69314
192,19.69314
193,19.46185
194,19.63531
197,19.63531
198,19.751
199,19.69314
201,19.63531
202,19.69314
203,19.63531
204,19.69314
206,19.63531
207,19.20175
208,19.63531
209,19.63531
210,19.46185
212,19.46185
213,19.63531
214,19.63531
215,19.28842
217,19.63531
218,19.46185
219,19.63531
220,19.69314
221,19.46185
223,19.46185
224,19.69314
225,19.69314
226,19.69314
227,19.69314
229,19.46185
230,19.69314
231,19.46185
232,19.69314
233,19.92459
235,19.46185
236,19.11508
237,19.63531
238,19.69314
240,19.11508
241,19.11508
242,19.46185
243,19.63531
244,19.46185
246,19.28842
247,19.46185
248,19.28842
249,19.46185
250,19.20175
252,19.46185
253,19.28842
254,19.46185
255,19.28842
256,19.28842
258,19.46185
259,19.46185
260,19.46185
261,19.46185
263,19.28842
264,19.46185
265,19.11508
267,19.11508
269,19.28842
270,19.46185
271,19.28842
272,19.11508
274,19.20175
275,19.11508
276,19.28842
277,18.85513
278,19.20175
280,19.63531
281,19.46185
282,19.751
284,19.11508
285,19.63531
286,18.94177
287,19.20175
288,19.11508
290,19.28842
291,19.63531
292,19.11508
293,19.11508
294,19.28842
296,19.28842
297,19.11508
298,19.63531
299,19.20175
300,19.02841
302,19.28842
303,18.94177
304,19.20175
305,19.02841
307,19.63531
308,19.11508
309,19.02841
310,19.28842
311,19.28842
313,19.20175
314,19.46185
315,18.94177
316,19.11508
318,19.02841
319,19.02841
320,19.28842
321,19.20175
322,19.11508
324,19.11508
325,19.02841
326,19.20175
327,19.02841
329,19.11508
330,18.94177
331,18.94177
332,19.20175
333,18.76852
335,19.11508
336,19.11508
338,19.20175
340,19.28842
341,18.24896
342,18.94177
343,19.02841
345,19.20175
346,19.11508
347,19.11508
348,19.02841
349,19.11508
351,19.02841
352,18.94177
353,19.20175
354,19.20175
355,18.94177
357,19.11508
358,19.46185
359,19.11508
360,18.94177
362,19.28842
363,18.59527
364,18.94177
365,19.20175
366,19.11508
368,19.28842
369,19.02841
370,19.28842
371,19.11508
373,18.85513
374,18.85513
375,19.11508
376,19.02841
377,19.02841
379,18.85513
380,18.94177
381,19.28842
382,18.76852
384,19.11508
385,18.76852
386,19.20175
387,19.20175
388,19.02841
390,18.85513
391,18.94177
392,18.85513
393,18.85513
395,19.02841
396,19.02841
397,19.02841
398,18.94177
400,19.02841
401,18.68191
402,18.59527
403,18.94177
404,19.02841
406,18.94177
407,18.94177
409,19.20175
411,19.02841
412,18.85513
413,19.02841
414,19.11508
416,18.94177
417,18.85513
418,18.94177
419,18.94177
421,18.85513
422,19.02841
423,19.11508
424,19.69314
425,18.76852
427,18.59527
428,19.46185
429,18.85513
430,18.59527
432,18.68191
433,18.94177
434,18.68191
435,18.94177
437,19.28842
438,18.68191
439,18.68191
440,18.94177
442,18.85513
443,18.76852
444,18.76852
445,19.02841
447,19.11508
448,18.76852
449,19.28842
450,18.68191
452,18.68191
453,18.85513
454,18.85513
455,18.94177
456,18.76852
458,18.76852
459,18.68191
460,18.76852
461,18.68191
463,18.68191
464,18.68191
465,18.94177
466,18.94177
468,18.68191
469,18.76852
470,17.98934
471,18.59527
473,18.68191
474,18.85513
475,18.76852
476,18.59527
478,18.76852
479,18.76852
481,18.94177
483,19.11508
484,18.42214
485,18.85513
486,18.59527
488,18.42214
489,18.76852
490,18.42214
491,18.16244
493,18.59527
494,18.76852
495,18.76852
496,18.68191
497,18.76852
499,18.42214
500,18.68191
501,18.85513
502,18.85513
504,18.42214
505,18.59527
506,18.94177
507,18.85513
509,18.68191
510,18.42214
511,17.90277
512,18.42214
514,18.85513
515,18.76852
516,18.68191
517,18.68191
519,18.07586
520,18.16244
521,18.24896
522,18.76852
524,18.24896
525,18.59527
526,18.76852
527,18.59527
529,18.94177
530,18.76852
531,18.94177
532,18.42214
534,18.76852
535,18.16244
536,18.85513
537,18.24896
539,18.94177
540,18.59527
541,18.59527
543,18.42214
544,18.59527
545,18.24896
547,18.68191
548,18.68191
549,18.68191
550,18.59527
552,18.68191
554,18.59527
555,18.59527
557,18.76852
558,18.76852
559,18.68191
560,18.59527
562,18.59527
563,18.94177
564,18.94177
565,18.42214
567,17.90277
568,19.02841
569,18.94177
570,18.24896
572,18.68191
573,18.68191
574,18.59527
575,18.76852
577,18.59527
578,18.68191
579,18.94177
580,18.24896
582,18.59527
583,18.16244
584,18.42214
585,18.59527
587,18.42214
588,18.24896
589,18.76852
590,18.24896
592,18.76852
593,18.42214
594,18.42214
595,18.59527
597,18.59527
598,18.68191
599,18.59527
600,18.42214
601,18.68191
603,18.24896
604,18.42214
605,18.59527
606,18.59527
608,18.16244
609,18.42214
610,18.42214
611,18.24896
612,18.68191
614,18.42214
615,18.42214
616,18.07586
617,18.16244
618,18.59527
620,18.59527
621,18.59527
622,19.11508
623,18.76852
626,18.76852
627,18.42214
628,18.68191
629,18.68191
631,18.07586
632,18.16244
633,18.76852
634,18.59527
635,17.7297
637,18.68191
638,18.24896
639,18.68191
640,17.98934
642,18.16244
643,18.42214
644,18.16244
645,17.98934
646,18.85513
648,18.42214
649,18.07586
650,18.24896
651,18.59527
652,18.94177
654,18.76852
655,18.42214
656,18.24896
657,18.24896
658,18.24896
660,18.94177
661,18.24896
662,18.07586
663,18.68191
665,18.42214
666,18.68191
667,18.16244
668,18.42214
669,18.16244
671,18.59527
672,18.42214
673,18.42214
674,18.42214
675,18.24896
677,18.76852
678,18.24896
679,18.16244
680,18.16244
682,18.16244
683,18.24896
684,18.42214
685,18.24896
686,18.59527
688,18.16244
689,17.98934
690,18.59527
691,18.59527
692,18.24896
694,18.42214
696,18.68191
697,18.42214
699,18.16244
700,18.24896
701,18.59527
702,18.42214
703,18.42214
705,18.24896
706,18.16244
707,18.24896
708,18.42214
710,18.42214
711,18.24896
712,18.24896
713,18.07586
714,18.24896
716,18.16244
717,18.42214
718,18.07586
719,18.16244
721,18.24896
722,18.16244
723,18.59527
724,18.42214
725,18.16244
727,18.76852
728,18.16244
729,18.16244
730,18.24896
732,18.59527
733,18.07586
734,18.24896
735,18.16244
736,17.90277
738,18.24896
739,18.42214
740,18.42214
741,18.42214
742,18.16244
744,18.59527
745,18.07586
